parameter,type,filepath,namelist,nl_var,name,function_name
VF1,namelist_var,CNTLATM,SLBC21,vf1,,
ICE_SIZE,namelist_var,CNTLATM,SLBC21,ice_size,,
ENTCOEF,namelist_var,CNTLATM,SLBC21,entcoef,,
CT,namelist_var,CNTLATM,SLBC21,ct,,
ASYM_LAMBDA,namelist_var,CNTLATM,SLBC21,asym_lambda,,
CHARNOCK,namelist_var,CNTLATM,SLBC21,charnock,,
G0,namelist_var,CNTLATM,SLBC21,g0,,
Z0FSEA,namelist_var,CNTLATM,SLBC21,z0fsea,,
OHSCA,namelist_var,CNTLATM,SLBC21,ohsca,,
VOLCSCA,namelist_var,CNTLATM,SLBC21,volsca,,
ANTHSCA,namelist_var,CNTLATM,SLBC21,anthsca,,
